España											
Actualizado: sábado, 01 febrero 2014 a las 09:00 hora oficial											
Fecha: viernes, 31 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.0 (17:00)	10.5 (02:00)	12,3	126 (23:30)	87 (23:30)	3,4	0	0	0	3,4
As Pontes	A Coruña	11.4 (15:40)	7.5 (00:50)	9,4			19	0,8	0,4	0,4	17,4
A Coruña	A Coruña	14.0 (13:30)	9.7 (00:10)	11,8	61 (23:10)	35 (23:10)	9,2	0,8	0	0	8,4
A Coruña Aeropuerto	A Coruña	14.3 (16:50)	9.7 (00:20)	12	52 (23:20)	31 (23:30)	6,7	1	0	0	5,7
Carballo, Depuradora	A Coruña	13.7 (15:40)	8.7 (00:00)	11,2			0	0	0	0	0
Cabo Vilan	A Coruña	12.5 (14:40)	9.4 (02:40)	10,9	73 (20:00)	53 (20:10)	13,7	0	0,3	1,6	11,8
Vimianzo	A Coruña	11.7 (22:20)	7.9 (02:30)	9,8			0	0	0	0	0
Fisterra	A Coruña	12.0 (22:30)	8.8 (00:40)	10,4	86 (23:00)	62 (22:20)	7,6	0,6	0,2	0,6	6,2
Mazaricos	A Coruña	11.4 (22:40)	7.6 (02:30)	9,5			38,8	0,4	0,6	4,2	33,6
Sobrado	A Coruña	10.1 (23:59)	6.2 (01:50)	8,2			13,2	4,4	0,4	0,6	7,8
Santiago de Compostela Aeropuerto	A Coruña	11.6 (15:30)	7.4 (00:40)	9,5	50 (18:10)	28 (23:20)	14,5	0	0	1,5	13
Noia	A Coruña	12.7 (21:50)	8.9 (05:00)	10,8	54 (21:40)	19 (20:50)	0,2	0	0,2	0	0
Boiro	A Coruña	13.6 (15:40)	9.7 (04:50)	11,7			39,2	1,2	3,6	3,2	31,2
Padrón	A Coruña	13.4 (15:20)	9.5 (02:30)	11,4	52 (23:30)	26 (23:40)	17,4	0,4	0,2	0,4	16,4
