España											
Actualizado: martes, 06 enero 2015 a las 09:30 hora oficial											
Fecha: lunes, 05 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.5 (15:10)	9.5 (09:10)	12	54 (16:50)	42 (16:50)	0	0	0	0	0
As Pontes	A Coruña	11.3 (13:50)	4.2 (09:40)	7,8							
A Coruña	A Coruña	13.9 (13:50)	8.6 (05:40)	11,3	30 (17:20)	16 (17:40)	0	0	0	0	0
A Coruña Aeropuerto	A Coruña	13.8 (13:50)	4.8 (04:00)	9,3	28 (19:50)	17 (21:20)	0	0	0	0	0
Carballo, Depuradora	A Coruña	12.7 (13:10)	4.2 (06:50)	8,4			0	0	0	0	0
Cabo Vilan	A Coruña	12.1 (14:00)	9.1 (00:50)	10,6	55 (05:30)	34 (17:10)	0,1	0	0	0,1	0
Vimianzo	A Coruña	10.7 (14:50)	4.9 (05:30)	7,8							
Fisterra	A Coruña	11.3 (14:10)	9.0 (21:00)	10,2	45 (17:10)	33 (17:00)	0	0	0	0	0
Mazaricos	A Coruña	10.5 (14:50)	4.3 (00:50)	7,4							
Sobrado	A Coruña	10.0 (15:00)	0.6 (02:10)	5,3			0	0	0	0	0
Santiago de Compostela Aeropuerto	A Coruña	11.6 (13:50)	5.4 (01:20)	8,5	22 (14:30)	12 (08:20)	0	0	0	0	0
Noia	A Coruña	11.8 (14:50)	6.9 (05:00)	9,4	16 (16:40)	8 (09:20)	0	0	0	0	0
Monte Iroite	A Coruña	13.1 (00:40)	5.7 (22:10)	9,4	37 (07:00)	26 (06:50)	0	0	0	0	0
Boiro	A Coruña	12.2 (16:20)	4.6 (03:50)	8,4			0	0	0	0	0
Padrón	A Coruña	11.9 (13:30)	3.2 (08:40)	7,5	23 (02:00)	19 (02:10)	0	0	0	0	0
Santiago de Compostela	A Coruña										
Rois, Casas do Porto	A Coruña	10.7 (17:10)	4.8 (07:50)	7,8			0	0	0	0	0
Ossa de Montiel	Albacete	17.8 (13:30)	-1.8 (08:40)	8	18 (15:20)	9 (15:20)	0	0	0	0	0
Villarrobledo	Albacete				13 (11:40)	7 (08:20)	0	0	0	0	0
Munera	Albacete	16.7 (15:10)	-3.1 (07:50)	6,8	19 (13:30)	9 (14:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete							0	0	0	
Yeste	Albacete	16.0 (15:00)	2.9 (08:30)	9,5			0	0	0	0	0
Hellín	Albacete	15.2 (16:10)	3.5 (08:20)	9,3	21 (01:10)	14 (00:20)	0	0	0	0	0
Tobarra	Albacete	15.5 (16:20)	1.3 (08:20)	8,4			0	0	0	0	0
Chinchilla	Albacete	15.6 (15:50)	3.1 (08:20)	9,4		19 (06:20)	0	0	0	0	0
Albacete	Albacete	18.4 (16:30)	-1.3 (07:10)	8,5	15 (12:50)	4 (16:50)	0	0	0	0	0
Alcalá del Júcar	Albacete	15.9 (15:50)	-1.5 (08:20)	7,2	11 (15:30)	6 (15:40)	0	0	0	0	0
Almansa	Albacete	16.6 (15:10)	-2.3 (07:00)	7,2	17 (15:30)	7 (13:30)	0	0	0	0	0
Orihuela	Alacant/Alicante	15.9 (14:00)	2.5 (07:30)	9,2	14 (17:10)	8 (17:10)	0	0	0	0	0
Pinoso	Alacant/Alicante	15.6 (15:10)	-2.3 (08:10)	6,7	17 (17:30)	10 (17:30)	0	0	0	0	0
Rojales	Alacant/Alicante	15.9 (14:10)	4.6 (08:10)	10,2	14 (13:50)	9 (02:40)	0	0	0	0	0
Villena	Alacant/Alicante	15.8 (14:30)	-3.9 (08:40)	6	23 (16:50)	17 (16:50)	0	0	0	0	0
Novelda	Alacant/Alicante	17.6 (14:10)	5.2 (08:20)	11,4			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.6 (14:00)	5.0 (07:40)	11,3			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	16.5 (13:20)	6.5 (07:20)	11,5	18 (03:20)	12 (03:00)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	16.9 (13:50)	4.8 (06:50)	10,8	15 (12:00)	10 (14:50)	0	0	0	0	0
Benidorm	Alacant/Alicante	17.5 (14:30)	8.4 (07:50)	12,9			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	16.4 (14:00)	5.1 (01:40)	10,7	16 (03:00)	13 (01:40)	0	0	0	0	0
Pego	Alacant/Alicante	16.3 (13:30)	7.6 (08:40)	11,9	15 (13:40)	8 (15:40)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	16.7 (16:10)	3.8 (06:40)	10,3	22 (22:50)	14 (22:50)	0	0	0	0	0
Vélez Blanco	Almería	15.8 (15:40)	3.0 (08:30)	9,4			0	0	0	0	0
Adra	Almería	17.8 (14:50)	10.2 (04:50)	14	11 (16:40)	6 (16:00)	0	0	0	0	0
El Ejido	Almería	19.2 (13:10)	7.9 (06:10)	13,6			0	0	0	0	0
Roquetas de Mar	Almería	17.0 (14:30)	5.1 (08:30)	11	15 (17:10)	10 (07:40)	0,2	0	0,2	0	0
Abla	Almería	17.4 (15:10)	3.9 (08:40)	10,6	23 (16:00)	12 (16:10)	0	0	0	0	0
Láujar de Andarax	Almería	14.3 (15:00)	7.0 (21:40)	10,7	19 (14:10)	12 (14:50)	0	0	0	0	0
Almería Aeropuerto	Almería	17.7 (12:30)	7.9 (08:10)	12,8	22 (10:00)	16 (09:50)	0	0	0	0	0
Cabo de Gata	Almería	16.3 (11:40)	12.5 (05:00)	14,4	35 (13:30)	28 (13:30)	0	0	0	0	0
Garrucha, Puerto	Almería	18.1 (13:20)	6.9 (07:50)	12,5	25 (09:40)	18 (09:30)	0	0	0	0	0
Albox	Almería	18.6 (15:20)	5.9 (07:50)	12,3	20 (16:00)	14 (02:10)	0	0	0	0	0
Huercal Overa	Almería	19.9 (14:40)	2.8 (07:20)	11,3	21 (16:00)	12 (16:00)	0	0	0	0	0
Aramaio	Araba/Álava	12.9 (14:50)	2.6 (06:50)	7,7			0	0	0	0	0
Amurrio	Araba/Álava										0
Lalastra	Araba/Álava	12.7 (14:10)	-3.3 (07:30)	4,7	20 (14:30)	11 (13:00)	0	0	0	0	0
Opakua	Araba/Álava	11.0 (16:10)	-0.2 (23:59)	5,4	14 (04:40)	12 (04:40)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	8.3 (14:50)	-0.7 (02:30)	3,8	32 (15:30)	24 (15:40)	0	0	0	0	0
Labastida	Araba/Álava	4.2 (16:40)	-0.1 (08:40)	2	10 (11:50)	5 (11:50)	0	0	0	0	0
Leza	Araba/Álava	4.3 (14:30)	-0.6 (08:40)	1,9			0,2	0	0	0	0,2
Campezo/Kanpezu	Araba/Álava	10.0 (16:40)	-1.7 (23:59)	4,1			0	0	0	0	0
Cabrales	Asturias	16.2 (15:10)	5.4 (05:50)	10,8	42 (08:50)	19 (18:00)	0	0	0	0	0
Llanes	Asturias	12.5 (14:00)	6.6 (06:30)	9,5	20 (20:20)	13 (15:30)	0	0	0	0	0
Amieva, Panizales	Asturias	15.6 (15:10)	3.0 (07:50)	9,3	8 (14:10)	4 (14:50)	0	0	0	0	0
Piloña	Asturias	16.4 (15:20)	4.7 (23:40)	10,5	16 (16:20)	8 (17:40)	0	0	0	0	0
Colunga	Asturias	13.0 (16:50)	6.5 (08:50)	9,8	22 (00:50)	13 (00:40)	0	0	0	0	0
Gijón, Campus	Asturias	15.8 (14:50)	3.6 (07:20)	9,7	16 (17:00)	9 (16:10)	0	0	0	0	0
Cabo Peñas	Asturias				41 (23:20)	20 (00:10)					
Asturias Aeropuerto	Asturias	13.8 (13:30)	6.5 (08:40)	10,2	32 (16:40)	21 (16:40)	0	0	0	0	0
Puerto de Pajares	Asturias	11.6 (14:00)	0.8 (20:50)	6,2	34 (02:10)	25 (01:30)	0	0	0	0	0
Pola de Lena	Asturias	15.2 (15:30)	0.3 (07:20)	7,7	22 (16:20)	11 (16:20)	0	0	0	0	0
Aller	Asturias	12.1 (13:10)	1.9 (22:30)	7	15 (12:30)	10 (17:20)	0	0	0	0	0
Mieres	Asturias	15.9 (16:10)	2.7 (09:50)	9,3	14 (02:10)	8 (02:10)	0,2	0	0	0,2	0
Oviedo	Asturias	14.0 (16:10)	4.0 (09:40)	9	15 (17:00)	10 (10:40)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	12.0 (17:00)	1.1 (09:40)	6,6	18 (17:00)	11 (17:10)	0	0	0	0	0
Pola de Somiedo	Asturias	15.5 (14:40)	-0.6 (08:40)	7,4	13 (14:50)	6 (14:50)	0	0	0	0	0
Salas	Asturias	15.5 (16:30)	4.5 (10:00)	10	14 (17:00)	8 (17:10)	0	0	0	0	0
