España											
Actualizado: viernes, 16 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 15 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.6 (06:00)	6.1 (23:40)	9,4	127 (07:20)	90 (06:40)	17,4	0	9,6	5,8	2
As Pontes	A Coruña	10.1 (00:00)	3.6 (23:59)	6,9							
A Coruña	A Coruña	13.1 (05:50)	7.1 (23:10)	10,1	93 (07:50)	39 (08:00)	30,4	0,2	22,2	4	4
A Coruña Aeropuerto	A Coruña							0,4			4,1
Carballo, Depuradora	A Coruña	12.0 (03:30)	5.4 (19:40)	8,7			40,4	0,4	31	4	5
Cabo Vilan	A Coruña	12.4 (05:00)	6.4 (23:40)	9,4	108 (08:40)	72 (02:10)	35,8	0	31,3	1,1	3,4
Vimianzo	A Coruña	10.5 (04:50)	4.5 (23:30)	7,5							
Fisterra	A Coruña	11.1 (01:20)	6.0 (22:30)	8,6	122 (05:10)	87 (07:00)	14	0,8	11,4	1	0,8
Mazaricos	A Coruña	10.0 (02:00)	4.3 (23:50)	7,2							
Sobrado	A Coruña	8.3 (00:20)	2.8 (23:59)	5,6			48	2	24	18,8	3,2
Santiago de Compostela Aeropuerto	A Coruña							8,5	25,6		5,5
Noia	A Coruña							1,2		6,4	4,2
Monte Iroite	A Coruña	8.0 (08:40)	1.8 (21:40)	4,9	114 (05:40)	82 (05:40)	56,4	2,5	41,9	7	5
Boiro	A Coruña							0,6		13,2	6,6
Padrón	A Coruña									15,2	3,8
Santiago de Compostela	A Coruña							5,3		11,4	5,2
Rois, Casas do Porto	A Coruña	10.3 (00:00)	5.2 (23:59)	7,8			90	8,8	60	11,8	9,4
Ossa de Montiel	Albacete	14.4 (14:30)	-0.6 (07:40)	6,9	43 (15:10)	25 (16:00)	0	0	0	0	0
Villarrobledo	Albacete							0			0
Munera	Albacete	14.6 (14:30)	-1.8 (01:30)	6,4	41 (20:40)	20 (23:50)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	17.7 (14:40)	0.5 (08:00)	9,1			0	0	0	0	0
Yeste	Albacete	17.1 (14:00)	5.0 (02:10)	11,1			0	0	0	0	0
Hellín	Albacete	18.4 (15:50)	3.7 (07:40)	11	33 (18:40)	21 (18:40)	0	0	0	0	0
Tobarra	Albacete	18.4 (15:50)	2.1 (06:30)	10,2			0	0	0	0	0
Chinchilla	Albacete	13.8 (12:30)	4.6 (08:50)	9,2		30 (18:30)	0	0	0	0	0
Albacete	Albacete	16.8 (14:50)	0.7 (05:00)	8,7	41 (19:50)	20 (20:20)	0	0	0	0	0
Alcalá del Júcar	Albacete	16.4 (16:00)	-0.6 (05:50)	7,9	36 (16:40)	19 (18:40)	0	0	0	0	0
Almansa	Albacete	17.4 (15:20)	0.1 (07:20)	8,7	30 (13:20)	14 (12:20)	0	0	0	0	0
Orihuela	Alacant/Alicante	18.8 (16:20)	4.0 (07:30)	11,4	15 (11:20)	10 (11:20)	0	0	0	0	0
Pinoso	Alacant/Alicante	19.0 (15:20)	-1.0 (07:30)	9	22 (17:30)	12 (16:00)	0	0	0	0	0
Rojales	Alacant/Alicante	19.5 (14:30)	4.9 (08:10)	12,2	27 (16:50)	17 (17:20)	0	0	0	0	0
Villena	Alacant/Alicante	19.2 (14:30)	-3.2 (08:10)	8	30 (15:20)	19 (15:20)	0	0	0	0	0
Novelda	Alacant/Alicante	21.2 (14:10)	5.6 (06:40)	13,4			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.9 (15:50)	4.8 (07:20)	12,3			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante							0	0		0
Alicante/Alacant	Alacant/Alicante	20.0 (15:10)	5.8 (08:30)	12,9	22 (14:00)	13 (14:10)	0	0	0	0	0
Benidorm	Alacant/Alicante	16.9 (13:10)	8.2 (05:30)	12,5			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	20.0 (14:20)	4.5 (04:20)	12,3	34 (21:10)	19 (21:20)	0	0	0	0	0
Pego	Alacant/Alicante	22.7 (15:00)	7.6 (05:20)	15,2	17 (14:10)	9 (15:10)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante							0			0
Vélez Blanco	Almería	13.7 (15:20)	3.6 (05:20)	8,6			0	0	0	0	0
Adra	Almería							0			
El Ejido	Almería	18.2 (11:40)	10.7 (07:20)	14,5			0	0	0	0	0
Roquetas de Mar	Almería	17.0 (12:30)	8.5 (09:00)	12,8	60 (19:30)	39 (22:20)	0	0	0	0	0
Abla	Almería	19.6 (15:10)	6.4 (08:00)	13	23 (17:00)	10 (18:00)	0	0	0	0	0
Láujar de Andarax	Almería	12.1 (14:10)	3.3 (23:50)	7,7	42 (14:30)	28 (19:20)	0	0	0	0	0
Almería Aeropuerto	Almería							0			0
Cabo de Gata	Almería	18.0 (13:20)	12.5 (07:50)	15,3	60 (22:50)	36 (21:50)	0	0	0	0	0
Garrucha, Puerto	Almería	20.8 (17:20)	8.9 (08:30)	14,8	48 (15:20)	34 (15:20)	0	0	0	0	0
Albox	Almería	21.7 (14:20)	8.1 (07:30)	14,9	39 (19:30)	26 (19:30)	0	0	0	0	0
