España											
Actualizado: domingo, 18 enero 2015 a las 09:00 hora oficial											
Fecha: sábado, 17 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	10.0 (15:50)	6.5 (08:50)	8,3			6,8	0,6	0,2	0	6
As Pontes	A Coruña							4,2		0	8,8
A Coruña	A Coruña	9.6 (15:20)	6.9 (08:30)	8,3	50 (20:30)	27 (23:10)	3	1,4	0,4	0,2	1
A Coruña Aeropuerto	A Coruña	9.2 (15:10)	3.7 (04:20)	6,4	39 (15:00)	25 (04:50)	7,4	3,7	0,8	0	2,9
Carballo, Depuradora	A Coruña	8.5 (13:10)	2.4 (01:20)	5,5				1,6		0,4	1,6
Cabo Vilan	A Coruña										2,4
Vimianzo	A Coruña	7.9 (13:50)	2.0 (02:00)	5			15	2,2	0,4	4,2	8,2
Fisterra	A Coruña	9.2 (13:40)	7.1 (10:00)	8,1	114 (23:50)	57 (17:20)	9,8	0	0,2	3,6	6
Mazaricos	A Coruña	6.9 (14:10)	3.5 (05:30)	5,2							
Sobrado	A Coruña	5.8 (15:20)	-1.6 (00:20)	2,1			5,4	0,6	0,2	0,2	4,4
Santiago de Compostela Aeropuerto	A Coruña	7.3 (14:40)	0.7 (01:10)	4	48 (21:00)	28 (21:00)	2,8	1	0	0,5	1,3
Noia	A Coruña										7,6
Monte Iroite	A Coruña	4.5 (14:10)	2.7 (07:00)	3,6	80 (21:40)	49 (22:30)	24,2	0	1,4	6,6	16,2
Boiro	A Coruña	9.2 (16:50)	2.9 (00:20)	6				0,6		2,8	11,2
Padrón	A Coruña	9.6 (14:40)	1.9 (05:30)	5,8	35 (19:30)	15 (17:50)	4,7	0,1	0,1	0,4	4,1
Santiago de Compostela	A Coruña	7.8 (15:00)	2.2 (00:20)	5	34 (21:30)	10 (18:00)	3,1	0,2	0,4	0,5	2
Rois, Casas do Porto	A Coruña							0		2,4	9,6
Ossa de Montiel	Albacete	8.2 (15:20)	-2.2 (22:40)	3	20 (02:10)	9 (02:10)	0	0	0	0	0
Villarrobledo	Albacete							0			0
Munera	Albacete									0	0
Yeste, Embalse Fuensanta	Albacete							0		0	0
Yeste	Albacete							0		0	0
Hellín	Albacete	9.1 (15:30)	1.8 (08:30)	5,5	51 (14:10)	26 (00:20)	0	0	0	0	0
Tobarra	Albacete									0	0
Chinchilla	Albacete	4.9 (16:20)	-2.6 (08:30)	1,2		31 (15:30)	0	0	0	0	0
Albacete	Albacete	9.3 (15:40)	-1.4 (08:40)	4	33 (13:30)	11 (14:30)	0	0	0	0	0
Alcalá del Júcar	Albacete							0			0
Almansa	Albacete							0			0
Orihuela	Alacant/Alicante							0		0	0
Pinoso	Alacant/Alicante	10.9 (16:20)	-2.8 (23:59)	4	31 (10:30)	18 (10:30)	0	0	0	0	0
Rojales	Alacant/Alicante							0		0	0
Villena	Alacant/Alicante							0			0
Novelda	Alacant/Alicante	13.4 (15:50)	4.8 (22:10)	9,1			0	0	0	0	0
Elche/Elx	Alacant/Alicante	16.4 (15:30)	3.6 (22:50)	10					0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	14.6 (13:00)	3.5 (03:40)	9,1	46 (09:20)	33 (09:30)	0,1	0	0,1	0	0
Alicante/Alacant	Alacant/Alicante	15.0 (14:00)	5.1 (08:40)	10	32 (02:00)	15 (10:00)	0	0	0	0	0
Benidorm	Alacant/Alicante	14.9 (14:10)	5.2 (08:20)	10			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	14.2 (15:10)	3.7 (23:10)	8,9	55 (10:20)	21 (10:30)	0	0	0	0	0
Pego	Alacant/Alicante								0	0	0
Alcoy/Alcoi	Alacant/Alicante							0			0
Vélez Blanco	Almería	6.5 (16:00)	-2.5 (06:50)	2			0	0	0	0	0
Adra	Almería							0	0		
El Ejido	Almería	17.3 (12:50)	8.6 (23:30)	12,9			0	0	0	0	0
Roquetas de Mar	Almería	16.7 (15:00)	4.2 (07:40)	10,5	36 (01:50)	22 (02:20)	0	0	0	0	0
Abla	Almería	11.4 (14:00)	1.7 (23:10)	6,5	27 (13:50)	12 (10:40)	0	0	0	0	0
Láujar de Andarax	Almería	6.7 (13:40)	-2.1 (08:40)	2,3	50 (00:10)	35 (03:50)	0	0	0	0	0
Almería Aeropuerto	Almería	16.5 (12:30)	9.5 (23:50)	13	42 (07:40)	32 (14:10)	0	0	0	0	0
Cabo de Gata	Almería							0			0
Garrucha, Puerto	Almería	15.5 (15:20)	8.3 (07:40)	11,9	49 (16:50)	40 (16:50)			0	0	0
Albox	Almería										0
Huercal Overa	Almería	15.9 (15:40)	4.3 (23:50)	10,1	47 (13:20)	24 (11:00)	0	0	0	0	0
Aramaio	Araba/Álava	6.9 (14:00)	0.5 (06:40)	3,7				7,4		0	0
Amurrio	Araba/Álava							1			0
Lalastra	Araba/Álava							0,6			0
Opakua	Araba/Álava							2,8			0
Vitoria Gasteiz Aeropuerto	Araba/Álava	9.3 (15:10)	-0.4 (06:30)	4,5	33 (00:40)	21 (09:00)		2,1	0	0	
Labastida	Araba/Álava							0			
Leza	Araba/Álava	7.1 (15:20)	0.3 (22:20)	3,7			0,2	0,2	0	0	0
Campezo/Kanpezu	Araba/Álava									0	0
Cabrales	Asturias							1			
Llanes	Asturias	12.2 (15:10)	6.1 (23:20)	9,1	41 (00:50)	21 (04:40)	0	0	0	0	0
Amieva, Panizales	Asturias	11.8 (14:20)	1.7 (02:00)	6,8	59 (22:00)	22 (22:00)	7,2	6,2	1	0	0
Piloña	Asturias	11.4 (14:40)	1.4 (08:30)	6,4	19 (23:30)	10 (23:40)	0,6	0,6	0	0	0
Colunga	Asturias	12.3 (13:50)	4.2 (23:00)	8,3	31 (02:20)	17 (02:20)	1	1	0	0	0
Gijón, Campus	Asturias	12.6 (14:40)	4.1 (22:00)	8,4	32 (00:30)	14 (03:20)	0,4	0,4	0	0	0
Cabo Peñas	Asturias										
Asturias Aeropuerto	Asturias	12.2 (14:10)	4.8 (01:40)	8,5	39 (01:00)	25 (01:20)	1,4	1,4	0	0	0
Puerto de Pajares	Asturias	0.0 (12:40)	-7.0 (04:00)	-3,5	60 (23:20)	36 (22:40)	0,2	0,1	0,1	0	0
Pola de Lena	Asturias	10.5 (14:30)	0.6 (04:10)	5,6	49 (23:00)	24 (23:00)	1,2	0,8	0,4	0	0
Aller	Asturias	4.5 (13:40)	-1.6 (04:40)	1,4	39 (23:20)	12 (22:10)		2,8		0	0
Mieres	Asturias							0	0		
Oviedo	Asturias	9.9 (14:30)	2.5 (09:30)	6,2	32 (00:10)	18 (00:20)	0,2	0,2	0	0	0
Tineo, Soto de la Barca	Asturias	9.0 (14:00)	1.3 (04:10)	5,1	24 (12:40)	9 (04:30)		0,4		0	0
Pola de Somiedo	Asturias										0
Salas	Asturias							0,6		0	0
Cabo Busto	Asturias	11.4 (15:40)	7.3 (04:40)	9,3	72 (02:40)	50 (02:40)	0,6	0,6	0	0	0
Degaña	Asturias	-0.1 (11:20)	-2.7 (04:30)	-1,4	37 (20:40)	15 (22:30)			2,6	5,6	0
Ibias, San Antolin	Asturias	4.3 (13:10)	0.5 (00:40)	2,4	39 (15:50)	25 (08:10)	3,8	1	0,2	0	2,6
Villayón, Oneta	Asturias								0	0,2	0,6
Taramundi, Ouria	Asturias	7.8 (13:20)	3.6 (02:40)	5,7	73 (22:20)	48 (20:40)	9,4	0,2	0	0	9,2
Puerto de Leitariegos	Asturias	-1.8 (14:40)	-5.5 (00:40)	-3,6	38 (11:30)	25 (21:50)	3	0,4	2,4	0,2	0
Ávila	Ávila	6.5 (16:20)	-5.3 (07:00)	0,6	28 (00:10)	16 (00:10)	0	0	0	0	0
Gotarrendura	Ávila										0
Arevalo	Ávila	6.4 (15:50)	-5.1 (08:20)	0,7					0	0	0
Navarredonda de Gredos	Ávila	5.3 (14:40)	-9.8 (08:40)	-2,3	27 (23:10)	10 (23:59)	0	0	0	0	0
Barco de Avila	Ávila	6.5 (14:50)	-6.3 (07:50)	0,1	41 (23:00)	26 (23:00)	0	0	0	0	0
Puerto El Pico	Ávila							0		0	0
Cebreros	Ávila	8.9 (13:20)	-2.1 (07:40)	3,4	61 (02:00)	30 (01:50)	0	0	0	0	0
Sotillo de la Adrada	Ávila	10.1 (15:10)	-2.3 (07:30)	3,9	50 (01:40)	27 (00:40)	0	0	0	0	0
Candeleda	Ávila	9.1 (16:00)	-2.4 (08:20)	3,4	17 (15:40)	9 (00:20)	0	0	0	0	0
Herrera del Duque	Badajoz				17 (17:20)	9 (17:20)		0	0	0	
Peraleda del Zaucejo	Badajoz							0		0	0
Castuera	Badajoz							0			0
Navalvillar de Pela	Badajoz	6.7 (16:00)	0.7 (05:00)	3,7	22 (00:50)	15 (00:50)	0	0	0	0	0
Don Benito	Badajoz	6.1 (16:50)	-1.4 (09:20)	2,3	19 (03:50)	12 (03:50)	0	0	0	0	0
Llerena	Badajoz									0	0
Villafranca de los Barros	Badajoz									0	0
Mérida	Badajoz	8.2 (13:50)	0.4 (08:40)	4,3	16 (22:30)	12 (22:30)	0,2	0,1	0,1	0	0
Zafra	Badajoz	10.3 (16:00)	-2.3 (08:40)	4	20 (20:40)	12 (23:20)	0,2	0	0,2	0	0
Almendralejo	Badajoz							0,2			0
Badajoz Aeropuerto	Badajoz	10.4 (17:10)	-1.0 (09:40)	4,7	22 (00:10)	16 (00:20)	0,8	0	0	0	0,8
Alburquerque	Badajoz	9.0 (15:10)	-1.6 (09:00)	3,7	18 (23:10)	10 (16:30)	1,6	0	0,2	0	1,4
Puebla de Obando	Badajoz							0		0	0,4
Badajoz	Badajoz							0			
Olivenza	Badajoz							0			1,4
Alconchel	Badajoz							0			1,8
Barcarrota	Badajoz	9.4 (15:50)	-2.1 (09:00)	3,6	24 (23:10)	10 (23:00)	1	0	0,2	0	0,8
Villanueva del Fresno	Badajoz							0			1
Monesterio	Badajoz							0			0
Fuente de Cantos	Badajoz								0,2	0	0
Jerez de los Caballeros	Badajoz	10.9 (16:20)	-0.8 (07:00)	5	24 (16:20)	18 (17:00)	0	0	0	0	0
Fregenal de la Sierra	Badajoz	9.0 (16:20)	-2.7 (08:50)	3,1	18 (15:40)	10 (13:50)	0,2	0	0,2	0	0
Azuaga	Badajoz							0			
Pontons	Barcelona							0			0
Vilafranca del Penedès	Barcelona										
Sitges	Barcelona	13.8 (14:30)	3.7 (04:40)	8,8				0		0	0
Barcelona Aeropuerto	Barcelona	12.8 (15:20)	4.1 (07:10)	8,5	39 (00:10)	30 (10:20)	0	0	0	0	0
Berga	Barcelona							0			0
Balsareny	Barcelona							0	0		
Moià	Barcelona							0			0
Manresa	Barcelona	7.6 (16:20)	-0.9 (23:59)	3,3	29 (01:10)	13 (01:10)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	3.4 (00:40)	-0.3 (05:00)	1,6			0	0	0	0	0
Igualada	Barcelona	9.2 (16:30)	-0.2 (23:50)	4,5	35 (00:30)	13 (01:20)	0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona									0	0
Barcelona	Barcelona	14.7 (15:00)	7.0 (06:50)	10,8	41 (01:30)	21 (01:10)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona							0			0
Caldes de Montbui	Barcelona							0	0		0
Sabadell Aeropuerto	Barcelona							0	0		
Vilassar de Dalt	Barcelona							0			0
Arenys de Mar	Barcelona	14.1 (12:10)	4.5 (00:50)	9,3	19 (08:40)	12 (08:00)					
Santa Susana	Barcelona	12.6 (14:10)	1.4 (23:50)	7	26 (15:00)	14 (14:30)	0	0	0	0	0
Fogars de Montclús	Barcelona							0			0
Tona	Barcelona										
Sant Julià  de Vilatorta	Barcelona	3.9 (14:40)	-1.8 (23:30)	1,1	11 (14:50)	6 (15:20)	0	0	0	0	0
Forua	Bizkaia							0,6			0
Machichaco	Bizkaia				71 (03:10)	50 (00:50)	23,3	2,9	20,3	0,1	0
