España											
Actualizado: miércoles, 21 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 20 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	10.2 (15:40)	6.7 (05:10)	8,4			7,6	4,6	1,2	0,6	1,2
As Pontes	A Coruña	7.3 (15:00)	2.3 (06:10)	4,8			22,4	5,4	8,6	5,8	2,6
A Coruña	A Coruña	9.7 (14:20)	6.9 (01:50)	8,3	60 (11:30)	37 (11:30)	7,4	1,8	2,4	3	0,2
A Coruña Aeropuerto	A Coruña	9.8 (14:30)	6.1 (05:20)	8	54 (11:40)	31 (11:40)	11,5	2,2	3,7	4,2	1,4
Carballo, Depuradora	A Coruña	8.9 (16:30)	4.1 (23:59)	6,5			13	6,2	1,2	4,4	1,2
Cabo Vilan	A Coruña	9.2 (12:00)	7.2 (00:00)	8,2	64 (14:30)	44 (11:00)	8,5	6,3	0	1,8	0,4
Vimianzo	A Coruña	7.9 (14:20)	4.7 (11:40)	6,3			16,2	9,2	2,4	1	3,6
Fisterra	A Coruña	8.6 (14:50)	6.5 (11:10)	7,6	96 (06:30)	50 (09:40)	4,6	4,2	0,4	0	0
Mazaricos	A Coruña	7.0 (14:30)	4.2 (11:50)	5,6							
Sobrado	A Coruña	5.5 (14:50)	0.1 (23:59)	2,8			15,2	3,8	8,6	2,2	0,6
Santiago de Compostela Aeropuerto	A Coruña	7.4 (13:50)	2.1 (23:59)	4,8	52 (14:10)	32 (12:10)	7,8	4,5	1,2	1,6	0,5
Noia	A Coruña	8.3 (16:20)	3.8 (23:40)	6,1	24 (02:40)	11 (02:30)	7	4,8	1	0,6	0,6
Monte Iroite	A Coruña	5.0 (14:50)	2.6 (12:30)	3,8	45 (01:30)	29 (01:30)	6,4	3,9	0,2	2	0,3
Boiro	A Coruña	10.3 (15:10)	3.8 (23:50)	7,1			12	12	0	0	0
Padrón	A Coruña	11.0 (13:10)	4.3 (23:30)	7,7	36 (03:30)	16 (13:10)	6,1	4,5	0	1	0,6
Santiago de Compostela	A Coruña	9.1 (12:30)	4.3 (23:59)	6,7	26 (12:40)	9 (12:50)	10,5	5,5	1,6	2,4	1
Rois, Casas do Porto	A Coruña	8.7 (16:00)	4.8 (20:40)	6,8			7	6	0,4	0,4	0,2
Ossa de Montiel	Albacete	5.8 (13:50)	-4.6 (08:00)	0,6	34 (13:30)	15 (13:40)	0	0	0	0	0
Villarrobledo	Albacete				25 (12:20)	14 (12:30)	0	0	0	0	0
Munera	Albacete	5.7 (15:50)	-4.8 (04:20)	0,4	27 (14:30)	12 (14:30)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	7.2 (14:20)	-0.6 (05:50)	3,3			0	0	0	0	0
Yeste	Albacete	6.8 (14:30)	-0.9 (08:30)	3			0	0	0	0	0
Hellín	Albacete	8.4 (15:10)	1.6 (08:30)	5	40 (05:10)	26 (04:50)	0	0	0	0	0
Tobarra	Albacete	9.0 (15:30)	1.3 (08:20)	5,1			0	0	0	0	0
Chinchilla	Albacete	4.1 (15:20)	-2.8 (08:10)	0,6		22 (02:50)	0	0	0	0	0
Albacete	Albacete	8.4 (14:10)	-0.2 (06:50)	4,1	33 (13:00)	13 (13:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	6.8 (17:10)	-1.6 (03:40)	2,6	29 (13:40)	17 (14:40)	3,2	1	0	2,2	0
Almansa	Albacete	6.0 (13:40)	-2.0 (23:20)	2	33 (13:50)	13 (14:40)	0	0	0	0	0
Orihuela	Alacant/Alicante	12.5 (16:30)	2.7 (22:50)	7,6	44 (06:30)	25 (06:20)	0	0	0	0	0
Pinoso	Alacant/Alicante	8.9 (16:30)	-1.3 (23:59)	3,8	26 (13:40)	14 (13:30)	0	0	0	0	0
Rojales	Alacant/Alicante	11.9 (17:00)	4.9 (05:40)	8,4	34 (14:00)	21 (10:40)	0	0	0	0	0
Villena	Alacant/Alicante	8.7 (14:00)	-2.7 (23:59)	3	35 (14:00)	22 (15:30)	0	0	0	0	0
Novelda	Alacant/Alicante	10.8 (14:20)	3.3 (06:40)	7,1			0	0	0	0	0
Elche/Elx	Alacant/Alicante	13.5 (16:40)	2.7 (07:50)	8,1			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	12.8 (15:00)	4.9 (07:00)	8,9	48 (11:30)	34 (11:10)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	13.7 (15:10)	4.8 (04:10)	9,3	41 (12:00)	19 (11:50)	0	0	0	0	0
Benidorm	Alacant/Alicante	13.4 (15:50)	4.2 (07:50)	8,8			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	12.6 (14:40)	1.6 (23:59)	7,1	29 (12:20)	15 (12:20)	0	0	0	0	0
Pego	Alacant/Alicante	11.4 (13:40)	4.0 (05:00)	7,7	33 (08:40)	22 (08:40)	0,2	0	0,2	0	0
Alcoy/Alcoi	Alacant/Alicante	8.6 (15:30)	0.9 (05:50)	4,8	31 (12:10)	18 (12:40)	0	0	0	0	0
Vélez Blanco	Almería							0	0		0
Adra	Almería										
El Ejido	Almería	16.2 (12:40)	7.8 (07:50)	12			0	0	0	0	0
Roquetas de Mar	Almería	15.0 (15:20)	6.1 (09:00)	10,5	41 (19:40)	24 (20:00)	15,6	10,2	5,2	0	0,2
Abla	Almería	11.2 (13:50)	0.5 (07:30)	5,8	27 (00:30)	10 (05:40)	0,1	0,1	0	0	0
Láujar de Andarax	Almería	5.0 (14:30)	-2.1 (07:20)	1,5	39 (06:30)	24 (06:30)	0	0	0	0	0
Almería Aeropuerto	Almería	15.3 (15:10)	7.5 (07:10)	11,4	32 (02:30)	20 (02:10)	1,7	1,7	0	0	0
Cabo de Gata	Almería	15.5 (12:10)	8.5 (04:30)	12	48 (03:10)	32 (03:20)		0,2	0,2	0	
Garrucha, Puerto	Almería	14.0 (12:20)	5.5 (08:40)	9,8	30 (03:00)	22 (15:10)	0	0	0	0	0
Albox	Almería	12.2 (16:00)	2.8 (04:30)	7,5	45 (02:50)	33 (02:20)	0	0	0	0	0
Huercal Overa	Almería	12.7 (16:10)	3.0 (08:00)	7,8	32 (14:00)	17 (10:10)	0	0	0	0	0
Aramaio	Araba/Álava	2.8 (16:20)	-0.5 (02:30)	1,1			0,2	0	0	0	0,2
Amurrio	Araba/Álava	7.2 (15:10)	1.2 (00:00)	4,2	11 (11:50)	6 (13:00)	1,4	0	0	0	1,4
Lalastra	Araba/Álava	1.5 (15:10)	-3.5 (00:00)	-1	22 (02:20)	12 (21:10)	3	0	0,8	1,6	0,6
