España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: miércoles, 28 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.8 (13:40)	8.3 (01:40)	10,6	63 (11:40)	50 (15:20)	0,2	0	0	0	0,2
As Pontes	A Coruña	9.8 (15:50)	3.9 (03:30)	6,9			2,6	0	0,8	0,6	1,2
A Coruña	A Coruña	12.6 (17:30)	8.8 (07:20)	10,7	34 (18:40)	19 (22:10)	0,2	0	0	0	0,2
A Coruña Aeropuerto	A Coruña	12.3 (18:10)	6.2 (07:10)	9,3	37 (22:20)	16 (20:00)	1,9	0	0	0,6	1,3
Carballo, Depuradora	A Coruña	12.0 (15:50)	5.3 (03:30)	8,7			2,2	0	0	0,6	1,6
Cabo Vilan	A Coruña	12.1 (17:50)	8.4 (06:30)	10,3	28 (11:00)	21 (16:40)	3,4	0	0,4	2,6	0,4
Vimianzo	A Coruña	10.6 (20:10)	6.2 (06:40)	8,4							
Fisterra	A Coruña	11.6 (18:10)	8.1 (01:00)	9,9	49 (20:50)	26 (00:10)	2,8	0	0,2	2,2	0,4
Mazaricos	A Coruña	10.3 (14:00)	6.0 (03:50)	8,2					0,6	1,6	0,8
Sobrado	A Coruña	8.4 (17:20)	1.3 (05:00)	4,8			3	0	0	1	2
Santiago de Compostela Aeropuerto	A Coruña							0		0	0
Noia	A Coruña	9.9 (21:30)	5.8 (07:30)	7,8	19 (00:30)	6 (19:00)	1,2	0	0	0,2	1
Monte Iroite	A Coruña	8.9 (19:10)	3.9 (03:00)	6,4	44 (00:50)	30 (00:50)	2,8	0	0	0,7	2,1
Boiro	A Coruña	10.6 (20:40)	5.6 (07:40)	8,1			3,8	0	0	0,4	3,4
Padrón	A Coruña	12.2 (14:10)	5.3 (07:40)	8,8	30 (02:00)	14 (01:50)	0,5	0	0	0	0,5
Santiago de Compostela	A Coruña	10.6 (15:40)	5.2 (04:20)	7,9	21 (01:10)	7 (00:50)	0,9	0	0	0,1	0,8
Rois, Casas do Porto	A Coruña	10.6 (14:20)	5.6 (04:10)	8,1			0	0	0	0	0
Ossa de Montiel	Albacete	13.2 (14:40)	-2.2 (08:50)	5,5	26 (14:50)	13 (15:40)	0	0	0	0	0
Villarrobledo	Albacete				35 (16:00)	15 (15:40)	0	0	0	0	0
Munera	Albacete	12.5 (14:50)	-3.2 (08:50)	4,6	34 (17:00)	15 (17:00)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete	18.9 (15:20)	2.1 (09:00)	10,5			0	0	0	0	0
Yeste	Albacete	15.5 (14:30)	1.3 (08:30)	8,4			0	0	0	0	0
Hellín	Albacete	16.4 (16:20)	3.9 (08:00)	10,1	51 (00:10)	31 (00:10)	0	0	0	0	0
Tobarra	Albacete	16.7 (16:20)	4.1 (08:10)	10,4			0	0	0	0	0
Chinchilla	Albacete	10.0 (16:00)	-1.6 (07:20)	4,2		29 (16:40)	0	0	0	0	0
Albacete	Albacete	14.7 (16:00)	1.2 (08:40)	7,9	33 (16:20)	14 (23:00)	0	0	0	0	0
Alcalá del Júcar	Albacete	14.7 (16:10)	-0.2 (08:30)	7,2	39 (15:10)	22 (15:20)	0	0	0	0	0
Almansa	Albacete	14.6 (15:00)	-0.4 (06:40)	7,1	32 (19:00)	18 (19:10)	0	0	0	0	0
Orihuela	Alacant/Alicante							0		0	0
Pinoso	Alacant/Alicante	16.2 (17:10)	0.5 (09:10)	8,4	25 (20:50)	12 (01:10)	0	0	0	0	0
Rojales	Alacant/Alicante	17.4 (15:50)	7.3 (23:40)	12,3	33 (17:20)	21 (17:30)	0	0	0	0	0
Villena	Alacant/Alicante	16.2 (16:10)	-0.3 (07:50)	8	29 (10:10)	19 (10:10)	0	0	0	0	0
Novelda	Alacant/Alicante	17.7 (15:50)	5.4 (23:59)	11,6			0	0	0	0	0
Elche/Elx	Alacant/Alicante	17.9 (16:10)	5.0 (23:30)	11,4			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	17.1 (14:30)	6.4 (23:50)	11,8	32 (02:50)	22 (11:40)	0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	17.5 (14:00)	5.4 (07:30)	11,5	24 (14:30)	14 (14:10)	0	0	0	0	0
Benidorm	Alacant/Alicante	15.6 (14:10)	7.2 (08:20)	11,4			0	0	0	0	0
Jávea/ Xàbia	Alacant/Alicante	16.9 (14:20)	4.9 (08:20)	10,9	34 (01:10)	22 (03:00)	0	0	0	0	0
Pego	Alacant/Alicante	17.3 (16:20)	7.3 (07:30)	12,3	18 (14:30)	10 (15:00)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	16.2 (16:40)	2.7 (07:40)	9,5	23 (23:10)	14 (23:10)	0	0	0	0	0
Vélez Blanco	Almería	13.5 (16:30)	0.1 (08:10)	6,8			0	0	0	0	0
Adra	Almería	17.1 (10:00)	10.6 (02:00)	13,9	23 (10:10)	12 (10:10)	0	0	0	0	0
El Ejido	Almería	18.5 (14:30)	8.5 (06:10)	13,5			0	0	0	0	0
Roquetas de Mar	Almería	16.9 (13:10)	5.8 (06:00)	11,3	29 (13:30)	19 (11:00)	0	0	0	0	0
Abla	Almería	18.1 (14:50)	6.5 (07:10)	12,3	38 (06:20)	18 (06:20)	0	0	0	0	0
Láujar de Andarax	Almería	12.4 (15:50)	4.0 (07:00)	8,2	64 (06:10)	45 (00:50)	0	0	0	0	0
Almería Aeropuerto	Almería	17.2 (14:50)	8.5 (06:10)	12,9	26 (15:40)	20 (20:40)	0	0	0	0	0
Cabo de Gata	Almería	15.4 (11:50)	12.1 (03:50)	13,8	49 (10:40)	34 (12:20)	0	0	0	0	0
Garrucha, Puerto	Almería	17.0 (11:30)	9.5 (23:59)	13,3	44 (17:40)	38 (17:30)	0	0	0	0	0
Albox	Almería	18.4 (14:40)	7.7 (21:30)	13	52 (10:00)	36 (10:20)	0	0	0	0	0
Huercal Overa	Almería	17.5 (12:00)	5.0 (23:40)	11,3	43 (04:10)	23 (02:10)	0	0	0	0	0
Aramaio	Araba/Álava	6.7 (23:59)	3.7 (07:40)	5,2			5,4	0,4	0,4	0,4	4,2
Amurrio	Araba/Álava	9.6 (14:10)	5.8 (07:00)	7,7			0,4	0	0	0,2	0,2
Lalastra	Araba/Álava	5.9 (15:40)	1.3 (08:00)	3,6	37 (23:59)	21 (23:40)	0,6	0	0	0,2	0,4
Opakua	Araba/Álava	5.7 (14:10)	3.1 (04:00)	4,4	23 (12:40)	14 (12:40)	3	0,4	0,2	1	1,4
Vitoria Gasteiz Aeropuerto	Araba/Álava	8.5 (13:50)	4.5 (06:10)	6,5	28 (21:50)	18 (21:50)	0,4	0,4	0	0	0
Labastida	Araba/Álava	8.3 (14:00)	4.6 (05:10)	6,5	34 (00:20)	19 (00:20)	0,2	0	0	0,2	0
Leza	Araba/Álava	9.0 (14:10)	4.6 (05:50)	6,8			0,4	0,4	0	0	0
Campezo/Kanpezu	Araba/Álava										0,2
Cabrales	Asturias										
Llanes	Asturias	14.6 (15:40)	8.1 (09:00)	11,4	42 (17:30)	21 (23:10)	0	0	0	0	0
Amieva, Panizales	Asturias	11.8 (15:50)	3.8 (08:50)	7,8	22 (07:30)	8 (19:40)	0,2	0	0	0	0,2
Piloña	Asturias	12.7 (15:30)	4.9 (08:40)	8,8	26 (19:50)	12 (13:00)	0,2	0	0	0	0,2
Colunga	Asturias	14.2 (19:10)	6.8 (08:20)	10,5	33 (21:10)	16 (12:50)	0,6	0,6	0	0	0
Gijón, Campus	Asturias	14.3 (17:30)	7.4 (08:10)	10,9	29 (19:40)	15 (19:40)	0	0	0	0	0
Cabo Peñas	Asturias	12.7 (17:40)	5.2 (09:10)	8,9	66 (23:59)	33 (20:50)					
Asturias Aeropuerto	Asturias	13.9 (16:40)	6.6 (09:10)	10,2	45 (20:20)	27 (20:40)	0,1	0	0	0	0,1
Puerto de Pajares	Asturias	3.5 (16:10)	-2.4 (06:20)	0,5	32 (09:00)	16 (12:30)	0	0	0	0	0
Pola de Lena	Asturias	13.7 (16:00)	2.4 (08:50)	8	26 (07:10)	15 (07:10)	0	0	0	0	0
Aller	Asturias	5.4 (16:00)	0.2 (05:50)	2,8	12 (15:30)	7 (18:40)	2	0	0	1	1
Mieres	Asturias	14.1 (16:00)	4.3 (08:10)	9,2	15 (14:30)	7 (20:40)	0	0	0	0	0
Oviedo	Asturias	12.4 (16:40)	4.8 (07:40)	8,6	35 (17:10)	21 (17:10)	0	0	0	0	0
Tineo, Soto de la Barca	Asturias	12.4 (15:30)	2.7 (08:20)	7,5	18 (07:10)	8 (07:10)					
Pola de Somiedo	Asturias	11.0 (16:20)	-1.7 (08:30)	4,6	24 (16:10)	14 (16:10)	0	0	0	0	0
Salas	Asturias	12.9 (16:10)	4.6 (07:10)	8,7	33 (15:40)	17 (15:40)	0,8	0	0	0	0,8
Cabo Busto	Asturias	14.4 (15:50)	8.7 (06:50)	11,5	57 (19:10)	39 (14:40)	0	0	0	0	0
Degaña	Asturias	4.4 (12:30)	-3.0 (06:30)	0,7	15 (12:50)	8 (03:20)	2,4	0	0	0,6	1,8
Ibias, San Antolin	Asturias	7.2 (16:10)	1.2 (05:00)	4,2	28 (23:40)	18 (23:40)	0,6	0	0	0	0,6
Villayón, Oneta	Asturias	10.1 (16:10)	4.8 (06:30)	7,5	28 (15:00)	16 (15:10)	0	0	0	0	0
Taramundi, Ouria	Asturias	10.9 (15:30)	4.6 (07:30)	7,7	38 (16:50)	24 (13:10)	0	0	0	0	0
Puerto de Leitariegos	Asturias	1.8 (16:00)	-5.5 (06:50)	-1,9	46 (14:30)	33 (12:40)	0,4	0	0	0,4	0
Ávila	Ávila	7.7 (16:10)	-1.9 (08:50)	2,9	31 (14:40)	22 (14:40)	0	0	0	0	0
Gotarrendura	Ávila	8.5 (16:20)	-1.6 (05:50)	3,4	19 (17:00)	13 (06:20)	0	0	0	0	0
Arevalo	Ávila	9.2 (14:50)	-3.9 (08:40)	2,6	17 (16:40)	11 (16:30)	0	0	0	0	0
Navarredonda de Gredos	Ávila	14.0 (14:00)	-3.9 (03:20)	5	24 (15:00)	8 (14:30)	0	0	0	0	0
Barco de Avila	Ávila	13.2 (14:00)	-3.8 (06:30)	4,7	35 (14:30)	19 (14:30)	0	0	0	0	0
Puerto El Pico	Ávila	14.1 (13:40)	-6.2 (08:20)	4	39 (14:50)	27 (14:40)	0	0	0	0	0
Cebreros	Ávila	14.2 (13:00)	3.2 (07:40)	8,7	50 (06:10)	27 (05:50)	0	0	0	0	0
Sotillo de la Adrada	Ávila	16.7 (16:10)	0.0 (08:40)	8,4	42 (02:00)	17 (01:40)	0	0	0	0	0
Candeleda	Ávila	14.4 (16:10)	-0.6 (08:10)	6,9	14 (15:10)	8 (11:10)	0	0	0	0	0
Herrera del Duque	Badajoz				22 (16:30)	14 (16:30)	0	0	0	0	0
Peraleda del Zaucejo	Badajoz	14.4 (16:40)	-1.3 (07:40)	6,5	31 (23:40)	20 (23:50)	0	0	0	0	0
Castuera	Badajoz	15.3 (15:50)	4.8 (07:20)	10,1	28 (16:50)	20 (16:50)	0	0	0	0	0
Navalvillar de Pela	Badajoz	14.0 (15:30)	-0.3 (08:30)	6,8	23 (16:10)	15 (16:10)	0	0	0	0	0
Don Benito	Badajoz	15.7 (17:20)	0.5 (08:50)	8,1	20 (17:40)	10 (23:59)	0	0	0	0	0
Llerena	Badajoz	15.1 (16:20)	4.2 (08:40)	9,7	34 (17:50)	23 (17:50)	0	0	0	0	0
Villafranca de los Barros	Badajoz	15.5 (16:00)	-1.1 (08:50)	7,2	30 (16:50)	22 (16:40)	0	0	0	0	0
Mérida	Badajoz	15.9 (15:40)	-0.6 (08:20)	7,6	22 (16:00)	13 (17:40)	0	0	0	0	0
Zafra	Badajoz	16.9 (16:10)	-0.3 (08:40)	8,3	31 (17:10)	22 (17:10)	0	0	0	0	0
Almendralejo	Badajoz	15.2 (15:30)	2.8 (05:20)	9	31 (16:30)	20 (16:30)	0	0	0	0	0
Badajoz Aeropuerto	Badajoz	15.6 (16:50)	1.6 (08:50)	8,6	28 (16:50)	19 (17:00)	0	0	0	0	0
Alburquerque	Badajoz	16.5 (16:20)	0.7 (08:50)	8,6	22 (16:10)	13 (16:40)	0	0	0	0	0
Puebla de Obando	Badajoz	14.4 (16:20)	2.2 (07:30)	8,3	24 (23:59)	18 (23:59)	0	0	0	0	0
Badajoz	Badajoz	16.5 (16:10)	-0.3 (09:00)	8,1	22 (17:00)	15 (17:00)	0	0	0	0	0
Olivenza	Badajoz	14.4 (17:00)	3.8 (08:50)	9,1	25 (16:20)	16 (12:00)	0	0	0	0	0
Alconchel	Badajoz	14.6 (17:30)	1.4 (07:50)	8	12 (18:00)	9 (18:00)	0	0	0	0	0
Barcarrota	Badajoz	14.9 (15:20)	0.1 (08:30)	7,5	22 (16:20)	14 (15:50)	0	0	0	0	0
Villanueva del Fresno	Badajoz	13.7 (17:30)	1.4 (08:10)	7,5	24 (23:40)	16 (23:20)	0	0	0	0	0
Monesterio	Badajoz	15.9 (16:30)	5.0 (07:50)	10,4	24 (14:00)	14 (23:59)	0	0	0	0	0
Fuente de Cantos	Badajoz	14.6 (16:20)	4.8 (23:20)	9,7	38 (17:40)	27 (17:40)	0	0	0	0	0
Jerez de los Caballeros	Badajoz	15.8 (16:00)	-0.4 (08:40)	7,7	37 (16:50)	26 (16:50)	0	0	0	0	0
Fregenal de la Sierra	Badajoz	16.2 (16:30)	-0.3 (08:10)	8	31 (17:00)	17 (17:00)	0	0	0	0	0
Azuaga	Badajoz	15.1 (16:30)	2.8 (07:20)	9	28 (17:40)	20 (17:40)	0	0	0	0	0
Pontons	Barcelona	10.8 (14:30)	2.1 (01:50)	6,5	34 (10:00)	22 (10:10)	0	0	0	0	0
Vilafranca del Penedès	Barcelona	13.7 (15:10)	-0.2 (04:50)	6,7	15 (16:20)	9 (15:20)	0	0	0	0	0
Sitges	Barcelona	13.1 (11:30)	4.7 (08:10)	8,9	28 (06:20)	14 (06:20)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	13.5 (15:00)	4.5 (07:50)	9	32 (06:00)	25 (06:10)	0	0	0	0	0
Berga	Barcelona	8.1 (15:20)	-0.2 (08:10)	4	20 (14:50)	12 (00:30)	0	0	0	0	0
Balsareny	Barcelona	10.7 (15:50)	-2.8 (08:40)	3,9	24 (15:00)	12 (14:40)	0	0	0	0	0
