España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: sábado, 31 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	11.3 (00:20)	6.3 (14:40)	8,8	102 (07:10)	73 (00:10)	3,6	1	1,2	1,4	0
As Pontes	A Coruña	9.2 (00:00)	3.6 (19:00)	6,4			21,2	10,6	2,4	4,8	3,4
A Coruña	A Coruña	12.0 (00:30)	6.5 (15:30)	9,3	72 (00:50)	39 (00:40)	9,2	3,4	0	2,4	3,4
A Coruña Aeropuerto	A Coruña	12.1 (00:30)	4.9 (15:40)	8,5	74 (00:40)	40 (15:30)	12,7	4,4	1,1	2,7	4,5
Carballo, Depuradora	A Coruña	10.9 (00:00)	5.6 (21:30)	8,2			12,8	3	3	2,4	4,4
Cabo Vilan	A Coruña										
Vimianzo	A Coruña	9.8 (00:00)	3.4 (22:50)	6,6							
Fisterra	A Coruña									0,6	0
Mazaricos	A Coruña	9.7 (00:30)	2.6 (22:50)	6,1			15,2	4,8	2,4	2,8	5,2
Sobrado	A Coruña	7.9 (00:00)	1.1 (21:30)	4,5			20	7,4	5	5,4	2,2
Santiago de Compostela Aeropuerto	A Coruña							4,3		3,1	1,2
Noia	A Coruña	10.1 (00:00)	3.8 (23:40)	7	38 (14:10)	10 (14:10)	9	3	2	2,6	1,4
Monte Iroite	A Coruña	8.2 (00:00)	1.2 (20:10)	4,7	75 (02:40)	49 (00:10)	3,1	2,2	0,2	0,4	0,3
Boiro	A Coruña	12.6 (00:00)	5.5 (23:50)	9,1			6,2	3,8	0,2	0,8	1,4
Padrón	A Coruña	11.7 (00:00)	4.6 (23:40)	8,1	43 (01:50)	14 (00:10)	4,1	1,5	1	0,3	1,3
Santiago de Compostela	A Coruña	10.8 (00:00)	4.3 (23:40)	7,6	44 (13:00)	10 (14:30)	7,6	1,2	2	1,6	2,8
