España											
Actualizado: lunes, 01 febrero 2016 a las 10:00 hora oficial											
Fecha: domingo, 31 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	14.2 (17:10)	12.0 (00:30)	13,1	87 (00:30)	74 (01:00)	0,2	0	0,2	0	0
As Pontes	A Coruña	12.4 (12:40)	9.9 (00:00)	11,1							
A Coruña	A Coruña	15.1 (15:40)	12.8 (00:00)	14	42 (00:20)	23 (00:10)	2	1,4	0,4	0,2	0
A Coruña Aeropuerto	A Coruña	15.4 (13:10)	12.3 (00:00)	13,8	35 (01:20)	19 (00:20)					
Carballo, Depuradora	A Coruña	14.0 (13:10)	11.7 (23:20)	12,8			1	0,8	0,2	0	0
Cabo Vilan	A Coruña	13.3 (13:20)	11.7 (19:50)	12,5	57 (00:10)	42 (00:10)	1,9	1,6	0,3	0	0
Vimianzo	A Coruña	12.4 (13:40)	10.6 (21:40)	11,5			7,2	2,6	3,8	0,8	0
Fisterra	A Coruña	12.9 (12:40)	11.4 (19:40)	12,1	54 (01:30)	40 (07:00)	1,8	1,4	0,4	0	0
Mazaricos	A Coruña	12.1 (13:50)	10.1 (23:40)	11,1			6,2	3,4	1,8	1	0
Sobrado	A Coruña	11.3 (16:00)	8.8 (00:00)	10,1			5,6	3,2	1,2	1,2	0
Santiago de Compostela Aeropuerto	A Coruña	12.9 (14:20)	10.1 (00:00)	11,5	45 (00:40)	22 (06:50)	1,8	0,7	0,2	0,9	0
Noia	A Coruña	13.3 (13:50)	11.8 (00:00)	12,6	35 (02:00)	13 (01:40)	5,8	2,2	3,2	0,4	0
Monte Iroite	A Coruña	10.2 (14:10)	7.9 (21:30)	9			23,2	7,3	10,9	4,8	0,2
Boiro	A Coruña	14.6 (15:50)	12.3 (00:00)	13,5			6,4	3,4	2,6	0,4	0
Padrón	A Coruña	14.7 (16:00)	11.9 (00:00)	13,3	46 (03:30)	20 (00:20)	1,4	1	0,3	0,1	0
Santiago de Compostela	A Coruña	13.0 (14:20)	10.9 (00:00)	11,9	34 (00:30)	10 (02:30)	0,4	0,1	0,1	0,1	0,1
Rois, Casas do Porto	A Coruña	13.3 (16:10)	11.1 (00:00)	12,2			0	0	0	0	0
Ossa de Montiel	Albacete	14.5 (15:20)	0.5 (01:50)	7,5	21 (07:10)	10 (06:50)	0	0	0	0	0
Villarrobledo	Albacete	13.9 (16:00)	2.8 (04:20)	8,3	33 (06:50)	19 (06:50)	0	0	0	0	0
Munera	Albacete	12.6 (16:20)	2.3 (02:40)	7,5	24 (09:50)	11 (16:50)	0	0	0	0	0
Yeste, Embalse Fuensanta	Albacete									0	0
Yeste	Albacete	18.5 (15:30)	5.1 (01:40)	11,8			0	0	0	0	0
Hellín	Albacete	16.8 (16:20)	6.1 (04:40)	11,4	52 (13:50)	33 (12:40)	0	0	0	0	0
Tobarra	Albacete	17.5 (16:30)	5.2 (04:50)	11,3			0	0	0	0	0
