España											
Actualizado: jueves, 12 enero 2017 a las 14:00 hora oficial											
Fecha: miércoles, 11 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.9 (07:40)	11.0 (23:10)	11,9	41 (11:00)	35 (08:30)	0,4	0	0,2	0	0,2
As Pontes	A Coruña	11.5 (13:20)	8.7 (23:59)	10,1			1,8	0,6	1	0,2	0
A Coruña	A Coruña	13.8 (14:50)	11.7 (01:40)	12,8	23 (10:00)	13 (10:00)	1,6	0,8	0,8	0	0
A Coruña Aeropuerto	A Coruña	13.0 (15:00)	10.7 (23:10)	11,8	22 (09:40)	13 (09:20)	0,3	0,1	0,2	0	0
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	12.4 (06:20)	10.7 (23:50)	11,5	33 (00:40)	26 (00:50)	0,7	0,6	0,1	0	0
Vimianzo	A Coruña	11.9 (14:30)	9.9 (22:00)	10,9			1,4	0,8	0,6	0	0
Fisterra	A Coruña	12.1 (07:00)	10.2 (20:10)	11,2	51 (00:20)	31 (00:20)	0	0	0	0	0
Mazaricos	A Coruña	11.1 (12:10)	8.8 (21:10)	10			0	0	0	0	0
Sobrado	A Coruña	11.8 (14:50)	7.9 (23:59)	9,9			1,2	0,4	0,6	0,2	0
Santiago de Compostela Aeropuerto	A Coruña	12.6 (15:30)	8.8 (23:59)	10,7	22 (22:30)	14 (22:30)	0,1	0	0,1	0	0
Noia	A Coruña	14.1 (14:00)	8.8 (23:59)	11,5	10 (15:50)	3 (14:30)	0,2	0	0,2	0	0
Boiro	A Coruña	15.4 (15:10)	8.4 (07:10)	11,9			0	0	0	0	0
