España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	12.4 (13:00)	7.5 (21:20)	9,9	81 (19:40)	54 (19:30)	3,2	0	0	1,2	2
As Pontes	A Coruña	8.5 (13:00)	3.5 (23:59)	6			8,6	0	0	4,6	4
A Coruña	A Coruña	11.3 (15:40)	8.1 (21:20)	9,7	56 (16:00)	28 (13:10)	9,4	0,2	0	6,6	2,6
A Coruña Aeropuerto	A Coruña	10.6 (15:50)	6.1 (22:20)	8,4	52 (13:00)	31 (13:00)	9,7	0	0	8,8	0,9
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña							12,8		0,6	0,1
Vimianzo	A Coruña	10.6 (16:40)	6.3 (23:40)	8,5			28	15,6	10	1,8	0,6
Fisterra	A Coruña	10.4 (00:00)	6.8 (09:50)	8,6	89 (10:50)	43 (13:20)	10,4	8,8	1,4	0,2	0
Mazaricos	A Coruña	8.9 (16:10)	5.5 (21:20)	7,2							
Sobrado	A Coruña	6.9 (16:50)	3.4 (23:30)	5,2			8,4	0,8	2,6	4,2	0,8
Santiago de Compostela Aeropuerto	A Coruña	9.0 (16:50)	3.7 (23:40)	6,4	45 (17:10)	30 (15:10)	9,2	3,8	3	2,2	0,2
Noia	A Coruña	9.6 (00:00)	6.0 (22:20)	7,8	28 (03:50)	14 (03:10)	21,2	8,6	9,4	1,4	1,8
Boiro	A Coruña	13.3 (16:00)	4.5 (23:59)	8,9			11,4	6	2,4	1,6	1,4
Padrón	A Coruña	11.7 (16:20)	4.6 (23:10)	8,1	28 (08:00)	12 (07:50)	14,9	6,9	5	2,5	0,5
Santiago de Compostela	A Coruña	10.8 (16:10)	4.7 (23:50)	7,8	27 (03:50)	5 (04:00)	14,7	6,7	4,5	3	0,5
Rois, Casas do Porto	A Coruña	11.1 (16:50)	5.3 (22:30)	8,2			22,4	11,4	7,6	2,6	0,8
Ossa de Montiel	Albacete	6.0 (10:40)	1.3 (14:30)	3,6	47 (14:00)	25 (14:00)	1	0,2	0	0,8	0
Villarrobledo	Albacete	8.4 (11:00)	3.3 (15:00)	5,8	58 (14:10)	36 (14:10)	6,6	2,4	0,4	3,6	0,2
Yeste, Embalse Fuensanta	Albacete	8.0 (17:10)	2.4 (00:50)	5,2			8,4	0,4	0,4	3,6	4
Yeste	Albacete	5.9 (14:20)	1.2 (00:20)	3,6			6,4	0	0	3,4	3
Hellín	Albacete	8.8 (11:40)	3.9 (21:10)	6,4	37 (18:30)	19 (18:30)	4,2	0,3	0	3,9	0
Tobarra	Albacete	8.6 (12:00)	4.6 (21:00)	6,6			3,2	0,4	0	2,8	0
Chinchilla	Albacete	7.3 (11:50)	1.5 (21:10)	4,4	46 (15:50)	28 (18:40)	8,6	1,8	0	6,7	0,1
Albacete	Albacete	9.0 (12:30)	3.7 (21:10)	6,4	38 (15:30)	17 (15:40)	7,2	1	0	6,2	0
Almansa	Albacete	10.4 (12:30)	2.2 (01:00)	6,3	49 (16:50)	18 (17:00)	5,8	1,8	0	4	0
Orihuela	Alacant/Alicante	14.9 (16:40)	7.6 (23:50)	11,2	39 (20:00)	21 (20:10)	0,6	0	0	0,6	0
Pinoso	Alacant/Alicante	10.6 (11:30)	3.8 (00:00)	7,2	34 (18:40)	15 (20:40)	3,4	2	0	1,4	0
Rojales	Alacant/Alicante	15.2 (16:20)	8.4 (06:50)	11,8	35 (16:30)	17 (16:20)	1,2	0	0	1,2	0
Villena	Alacant/Alicante	11.0 (11:30)	5.3 (21:00)	8,2	43 (17:30)	28 (17:30)	2,6	1,8	0	0,8	0
Novelda	Alacant/Alicante	14.1 (12:00)	8.4 (00:00)	11,3			1,6	0,8	0	0,8	0
Elche/Elx	Alacant/Alicante	15.6 (11:10)	8.6 (20:50)	12,1			0,2	0	0	0,2	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	18.5 (11:40)	8.3 (23:59)	13,4	35 (19:10)	26 (19:10)	0,1	0	0	0	0,1
