España											
Actualizado: miércoles, 01 febrero 2017 a las 14:00 hora oficial											
Fecha: martes, 31 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Estaca de Bares	A Coruña	15.2 (07:00)	10.9 (23:59)	13	69 (03:30)	46 (03:20)	2	0	0	0	2
As Pontes	A Coruña	11.7 (04:30)	9.1 (23:50)	10,4			7,4	0	0,4	5,6	1,4
A Coruña	A Coruña	13.3 (00:20)	10.8 (23:59)	12,1	66 (00:20)	34 (02:10)	12	0	1,6	7,6	2,8
A Coruña Aeropuerto	A Coruña	12.9 (01:20)	9.8 (23:30)	11,3	61 (00:10)	41 (00:10)	9	0	0,5	7,2	1,3
Carballo, Depuradora	A Coruña										
Cabo Vilan	A Coruña	11.5 (16:10)	9.5 (23:00)	10,5	77 (02:50)	52 (03:10)	34,3	3,5	27,8	2,8	0,2
Vimianzo	A Coruña	11.5 (16:00)	8.9 (23:20)	10,2			14,4	3,2	10,4	0,2	0,6
Fisterra	A Coruña	11.2 (01:10)	9.7 (22:50)	10,4	109 (03:10)	51 (02:00)	19,8	2	14,2	3,6	0
Mazaricos	A Coruña	10.1 (15:30)	8.7 (22:30)	9,4							
Sobrado	A Coruña	9.9 (17:10)	8.0 (23:50)	8,9			10,2	0,2	4	3,2	2,8
Santiago de Compostela Aeropuerto	A Coruña	10.9 (03:20)	8.0 (23:59)	9,4	42 (00:50)	23 (00:50)	9,4	0	5,5	2,3	1,6
Noia	A Coruña	11.9 (16:20)	10.2 (05:40)	11	57 (01:10)	22 (02:00)	15	6,8	4,6	2,4	1,2
Boiro	A Coruña	12.7 (01:10)	10.9 (23:00)	11,8			7,4	0	6,2	1	0,2
Padrón	A Coruña	12.2 (16:40)	9.5 (23:59)	10,8	38 (02:50)	14 (02:40)	8,5	0	6,2	2	0,3
Santiago de Compostela	A Coruña	11.8 (17:00)	9.8 (23:50)	10,8	28 (00:30)	7 (00:50)	9,2	0,2	5	2,8	1,2
Rois, Casas do Porto	A Coruña	11.0 (16:50)	9.7 (07:20)	10,3			13,6	1,2	9	1,8	1,6
Ossa de Montiel	Albacete	19.3 (14:30)	1.6 (08:00)	10,4	19 (16:20)	11 (16:20)	0	0	0	0	0
Villarrobledo	Albacete	15.7 (17:10)	2.0 (07:20)	8,8	23 (12:10)	15 (12:00)	0,2	0	0,2	0	0
Yeste, Embalse Fuensanta	Albacete	18.2 (16:20)	1.6 (08:20)	9,9			0	0	0	0	0
Yeste	Albacete	15.4 (16:20)	3.9 (07:10)	9,6			0	0	0	0	0
Hellín	Albacete	17.0 (15:50)	4.7 (08:00)	10,8	19 (01:30)	12 (01:30)	0	0	0	0	0
Tobarra	Albacete	16.7 (15:30)	3.1 (08:30)	9,9			0	0	0	0	0
Chinchilla	Albacete	15.5 (14:20)	4.8 (03:30)	10,2	28 (15:10)	19 (14:50)	0,1	0	0,1	0	0
Albacete	Albacete	17.3 (15:50)	2.3 (07:50)	9,8	17 (15:00)	9 (16:50)	0	0	0	0	0
Almansa	Albacete	17.2 (14:40)	1.3 (06:00)	9,3	23 (14:10)	10 (14:10)	0	0	0	0	0
Orihuela	Alacant/Alicante	18.0 (15:40)	4.9 (08:10)	11,5	22 (16:20)	11 (16:30)	0	0	0	0	0
Pinoso	Alacant/Alicante	17.2 (15:00)	1.5 (08:00)	9,4	0 (00:10)	0 (00:10)	0	0	0	0	0
Rojales	Alacant/Alicante	17.7 (14:40)	7.1 (07:30)	12,4	14 (15:00)	8 (15:00)	0	0	0	0	0
Villena	Alacant/Alicante	16.4 (15:50)	0.9 (07:10)	8,6	26 (15:00)	18 (15:20)	0	0	0	0	0
Novelda	Alacant/Alicante	19.0 (14:10)	6.9 (08:00)	13			0	0	0	0	0
Elche/Elx	Alacant/Alicante	19.2 (15:30)	6.2 (08:10)	12,7			0	0	0	0	0
Alicante/Alacant Aeropuerto	Alacant/Alicante	21.2 (14:30)	6.6 (05:50)	13,9			0	0	0	0	0
Alicante/Alacant	Alacant/Alicante	18.7 (15:20)	7.1 (06:40)	12,9	14 (15:40)	8 (15:40)	0	0	0	0	0
Benidorm	Alacant/Alicante							0	0		
Jávea/ Xàbia	Alacant/Alicante	18.9 (14:00)	5.9 (05:50)	12,4	26 (11:50)	15 (11:40)	0	0	0	0	0
Pego	Alacant/Alicante	16.8 (13:40)	9.9 (23:59)	13,3	14 (14:20)	9 (14:20)	0	0	0	0	0
Alcoy/Alcoi	Alacant/Alicante	18.5 (13:30)	7.6 (04:40)	13	27 (13:00)	14 (00:10)		0	0		0
Vélez Blanco - Topares	Almería	15.0 (15:00)	3.1 (08:20)	9			0	0	0	0	0
Adra	Almería	18.0 (17:30)	10.1 (06:10)	14,1	17 (10:50)	9 (11:00)					
El Ejido	Almería	18.8 (14:50)	8.6 (04:20)	13,7			0	0	0	0	0
Roquetas de Mar	Almería										
Abla	Almería	17.2 (14:40)	4.7 (08:20)	11	31 (15:30)	14 (15:00)	0	0	0	0	0
Láujar de Andarax	Almería	15.4 (14:30)	6.3 (07:10)	10,8	25 (13:20)	17 (14:50)	0	0	0	0	0
Almería Aeropuerto	Almería	17.7 (11:40)	8.1 (07:00)	12,9	18 (13:40)	14 (13:40)	0	0	0	0	0
Cabo de Gata	Almería	16.6 (11:40)	11.6 (02:20)	14,1	37 (13:40)	30 (13:30)	0	0	0	0	0
Carboneras	Almería										
Garrucha, Puerto	Almería				19 (21:50)	14 (22:50)	0	0	0	0	0
Albox	Almería	18.6 (15:20)	7.0 (06:50)	12,8	24 (15:50)	15 (16:00)	0	0	0	0	0
Huercal Overa	Almería	19.1 (14:20)	4.6 (07:40)	11,9	20 (16:00)	11 (16:00)	0	0	0	0	0
Aramaio	Araba/Álava	14.7 (15:20)	7.1 (08:40)	10,9			0	0	0	0	0
Amurrio	Araba/Álava	15.4 (14:40)	9.8 (06:50)	12,6	30 (10:00)	19 (11:20)	0	0	0	0	0
Lalastra	Araba/Álava	12.1 (15:20)	3.3 (22:10)	7,7	60 (02:10)	30 (01:50)	0	0	0	0	0
Opakua	Araba/Álava	13.7 (16:00)	7.4 (08:40)	10,5	64 (14:00)	40 (13:50)	0	0	0	0	0
Vitoria Gasteiz Aeropuerto	Araba/Álava	12.7 (14:50)	1.8 (09:10)	7,2	33 (13:20)	28 (13:40)	0	0	0	0	0
Labastida	Araba/Álava	11.2 (13:50)	3.8 (05:20)	7,5	19 (14:20)	8 (13:10)	0	0	0	0	0
Leza	Araba/Álava	11.8 (16:00)	2.2 (08:00)	7			0	0	0	0	0
Campezo/Kanpezu	Araba/Álava	12.7 (16:20)	1.6 (04:10)	7,1			0	0	0	0	0
Cabrales	Asturias	17.3 (13:10)	10.0 (21:30)	13,6	49 (22:40)	18 (22:40)	0	0	0	0	0
Llanes	Asturias	17.1 (11:00)	10.4 (08:40)	13,8	19 (08:20)	12 (09:30)	0	0	0	0	0
Amieva, Panizales	Asturias	16.8 (12:20)	13.4 (06:20)	15,1	60 (02:40)	30 (06:00)	0	0	0	0	0
Piloña	Asturias	17.5 (13:30)	8.2 (22:40)	12,8	28 (07:10)	12 (07:10)	0	0	0	0	0
Colunga	Asturias	17.5 (12:20)	7.5 (08:50)	12,5	18 (17:50)	12 (17:50)	0	0	0	0	0
Gijón, Campus	Asturias	19.2 (14:00)	9.3 (21:30)	14,3	33 (07:50)	13 (07:50)	0,2	0	0	0	0,2
Cabo Peñas	Asturias	16.3 (12:50)	11.1 (21:20)	13,7	26 (08:40)	15 (17:30)	0,3	0,1	0	0	0,2
Asturias Aeropuerto	Asturias	15.5 (12:20)	9.1 (20:00)	12,3	30 (07:40)	13 (05:40)	0,2	0,1	0	0	0,1
Puerto de Pajares	Asturias	4.3 (14:30)	2.8 (10:40)	3,6	73 (01:40)	45 (03:40)	0	0	0	0	0
Pola de Lena	Asturias	15.6 (15:20)	12.4 (06:50)	14	41 (01:40)	23 (02:10)	0	0	0	0	0
Aller	Asturias	14.0 (12:40)	8.5 (09:10)	11,3	43 (13:10)	13 (13:10)	0	0	0	0	0
Mieres	Asturias	17.6 (14:40)	9.2 (21:40)	13,4	49 (08:50)	22 (11:00)	0	0	0	0	0
Oviedo	Asturias	17.1 (14:00)	8.9 (23:40)	13	39 (03:00)	14 (11:40)	0,4	0	0	0,2	0,2
Tineo, Soto de la Barca	Asturias	15.4 (14:20)	8.5 (08:10)	11,9	14 (11:40)	7 (19:00)	0,4	0	0	0,2	0,2
Pola de Somiedo	Asturias	13.6 (12:40)	10.2 (09:00)	11,9	40 (01:20)	19 (01:20)	0	0	0	0	0
Salas	Asturias	13.3 (07:20)	9.1 (20:10)	11,2	19 (07:20)	12 (07:20)	1,6	0	0,6	0,8	0,2
Cabo Busto	Asturias	15.7 (09:50)	11.1 (23:59)	13,4	29 (07:10)	18 (04:40)	0,6	0,6	0	0	0
Degaña	Asturias	7.4 (13:20)	3.7 (07:50)	5,6	34 (04:10)	22 (12:40)	0,2	0	0	0,2	0
Ibias, San Antolin	Asturias	11.1 (11:30)	7.0 (23:59)	9,1	35 (06:30)	23 (06:30)	4,2	0	0	1,8	2,4
